"Träume sind der Schlüssel zum Glück. Seine Träume wahr zu machen, ist der Schlüssel zum Erfolg.",Unbekannt
"Unsere Träume können wir erst dann verwirklichen, wenn wir uns entschließen, einmal daraus zu erwachen.",Josephine Baker
"Alle Träume können wahr werden, wenn wir den Mut haben, ihnen zu folgen.",Walt Disney
"Träumen Sie so weit Sie sehen, und wenn Sie dort angekommen sind, können Sie weiterblicken.",Zig Ziglar
"Ehrgeiz ist die Fähigkeit, die Träume real werden lässt.",Niklas Gennen
"Achte auf deine Gedanken! Sie sind der Anfang deiner Taten.",Chinesische Weisheit
"Die Tat unterscheidet das Ziel vom Traum.",Unbekannt
"Nichts ist mächtiger als eine Idee zur richtigen Zeit.",Victor Hugo
"Ideen sind der Anfang aller Vermögen.",Napoleon Hill
"Zwischen einem der führt und einem der folgt unterscheidet Innovation.",Steve Jobs
"Ich bin ein Schwamm, denn ich sauge Ideen auf und mache sie nutzbar. Die meisten meiner Ideen gehören ursprünglich anderen Leute, die sich halt nicht mehr die Mühe gemacht haben, sie weiterzuentwickeln.",Thomas Alva Edison
"Eine gute Idee erkennt man daran, dass sie geklaut wird.",Gerhard Uhlenbruck
"Der Wert einer Idee liegt in ihrer Umsetzung.",Thomas Alva Edison
"Ob du glaubst etwas erreichen zu können oder nicht,du liegst immer richtig.",Henry Ford
"Nicht der Schnellste und Stärkste siegt, sondern der, der denkt, dass er es kann.",Unbekannt
"Wenn dir jemand erzählt, deine Idee sei verrückt,höre nicht auf ihn.",Michael Dell
"Menschen mit einer neuen Idee gelten solange als Spinner, bis sich die Sache durchgesetzt hat.",Mark Twain
"Mein ganzes Leben lang haben mir die Leute gesagt das ich es nicht schaffen werde.",Ted Turner
"Erfolg ist eher von Dauer, wenn man ihn erreicht, ohne die eigenen Prinzipien zu untergraben.",Walter Cronkite
"Es gibt nur einen Erfolg: Das Leben nach eigenen Vorstellungen leben zu können.",Christopher Morley
"Der größte Fehler, den wir in unserem Leben machen können, ist zu denken, wir würden für irgendjemanden außer uns selbst arbeiten.",Brian Tracy
"Deine Zeit ist begrenzt, also verschwende sie nicht, um das Leben eines Anderen zu leben.",Steve Jobs
"Die entscheidenden Veränderer der Welt sind immer gegen den Strom geschwommen.",Walter Jens
"Erfolg wird nur haben, wer sich unterscheidet.",Ted Turner
"Ziele sind Träume mit einer Deadline.",Napoleon Hill
"Wer kein Ziel hat, kann auch keines erreichen.",Laotse
"Nur wer sein Ziel kennt, findet den Weg.",Laotse
"Die Tragödie des Lebens liegt nicht im Nichterreichen seines Ziels. Die Tragödie des Lebens liegt darin keine Ziele zu haben, die man erreichen kann.",Benjamin Mays
"Der Hauptgrund dafür, warum die meisten Menschen nicht das bekommen, was sie wollen, ist der, dass sie gar nicht wissen, was sie wollen.",T. Harv Eker
"Ein Problem ist halb gelöst, wenn es klar formuliert ist.",John Dewey
"Der Ziellose erleidet sein Schicksal,der Zielbewusste gestaltet es.",Immanuel Kant
"Wenn du nicht weißt, wohin du willst, bringt dich jeder Weg dorthin.",Lewis Carroll
"Wir sind nur dadurch erfolgreich, dass wir uns im Leben oder im Krieg oder wo auch immer ein einzelnes beherrschendes Ziel setzen, und diesem Ziel alle anderen Überlegungen unterordnen.",Dwight D. Eisenhower
"Wer etwas Großes will, der muss sich zu beschränken wissen, wer dagegen alles will, der will in der Tat nichts und bringt es zu nichts.",Georg Wilhelm Friedrich Hegel
"Wer all seine Ziele erreicht, hat sie zu niedrig gewählt.",Herbert von Karajan
"Jede Revolution war zuerst ein Gedanke im Kopf eines Menschen.",Ralph Waldo Emerson
"Das Wichtigste ist, dass man als Erster eine Idee hat und sie mit Leidenschaft umsetzt.",Luciano Benetton
"Wer die Welt bewegen will, sollte erst sich selbst bewegen.",Sokrates
"Es ist nicht wichtig, wie groß der erste Schritt ist, sondern in welche Richtung er geht.",Unbekannt
"Aus kleinem Anfang entspringen alle Dinge.",Marcus Tullius Cicero
"Egal wie weit der Weg ist, man muss den ersten Schritt tun.",Mao Tse-tung
"Der Anfang ist die Hälfte des Ganzen.",Aristoteles
"Manche Berge scheinen unüberwindlich, bis wir den ersten Schritt tun.",Unbekannt
"Es ist nicht genug zu wissen,man muss auch anwenden. Es ist nicht genug zu wollen,man muss auch tun.",Johann Wolfgang von Goethe
"Was immer du tun kannst oder träumst es zu können, fang damit an.",Johann Wolfgang von Goethe
"Fange zu tun an, dann hast du auch die Kraft dazu.",Ralph Waldo Emerson
"In einem Jahr wirst du dir wünschen, du hättest heute angefangen.",Karen Lamb
"Es ist nicht zu wenig Zeit, die wir haben, sondern es ist zu viel Zeit, die wir nicht nutzen.",Lucius Annaeus Seneca
"Zu langes Nachdenken über eine Sache macht sie oft unmöglich.",Eva Young
"Es gibt nur zwei Dinge die du falsch machen kannst: aufhören oder gar nicht erst anfangen!",Unbekannt
"Einen Vorsprung im Leben hat, wer da anpackt, wo die anderen erst einmal reden.",John F. Kennedy
"Du musst nicht spitze sein, um anzufangen. Aber du musst anfangen, um spitze zu werden.",Zig Zagler
"Geniale Menschen beginnen große Werke, fleißige Menschen vollenden sie.",Leonardo da Vinci
"Das Geheimnis des Erfolgs ist anzufangen.",Mark Twain
"Erfolg hat drei Buchstaben: TUN.",Johann Wolfgang von Goethe
